land_variable,mean,median,std,min,max,count,Country
Other % land area,19.1362,18.98,1.221976046059356,17.676,21.229,15,Austria
Other areas,15791.207333333332,15662.18,1008.4260969059417,14585.89,17518.01,15,Austria
Permanent meadows and pastures,13781.640000000001,13861.0,967.9093403531436,12099.8,15010.0,15,Austria
Total area,83879.0,83879.0,0.0,83879.0,83879.0,15,Austria
Arable and cropland % land area,19.34466666666667,19.362,1.7343472904264368,17.421,22.32,15,Israel
Arable land and permanent crops,4186.2,4190.0,375.2976342660773,3770.0,4830.0,15,Israel
Forest,1498.4666666666667,1531.0,82.02514132583867,1383.0,1650.0,15,Israel
Forest % land area,6.9246,7.075,0.37890552912302555,6.391,7.625,15,Israel
Land area,21640.0,21640.0,0.0,21640.0,21640.0,15,Israel
Meadows and pastures % land area,6.645333333333334,6.47,0.46518885053993614,6.054,7.579,15,Israel
Other % land area,67.0856,67.204,1.842413045050275,63.771,69.131,15,Israel
Other areas,14517.333333333334,14543.0,398.72326003788345,13800.0,14960.0,15,Israel
Permanent meadows and pastures,1438.0,1400.0,100.65499774690063,1310.0,1640.0,15,Israel
Total area,22070.0,22070.0,0.0,22070.0,22070.0,15,Israel
Arable and cropland % land area,7.0652,7.281,0.602190074406981,5.995,7.898,15,Brazil
Arable land and permanent crops,590512.1666666666,608590.0,50326.88665043007,501050.0,660087.6,15,Brazil
Forest,5290462.666666667,5234331.0,278915.14548634115,4953914.0,5775552.0,15,Brazil
Forest % land area,63.2972,62.626,3.336935082205992,59.271,69.101,15,Brazil
Land area,8358140.0,8358140.0,0.0,8358140.0,8358140.0,15,Brazil
Meadows and pastures % land area,20.6742,20.651,0.3395663621233926,20.197,21.296,15,Brazil
Other % land area,8.963600000000001,9.896,2.9602689018784383,3.304,12.09,15,Brazil
Other areas,749191.4,827091.4,247410.42449502525,276182.2,1010531.0,15,Brazil
Permanent meadows and pastures,1727974.0,1726042.0,28383.519322713608,1688128.0,1779976.0,15,Brazil
Total area,8515770.0,8515770.0,0.0,8515770.0,8515770.0,15,Brazil
Arable and cropland % land area,18.410666666666668,18.386,1.6219110274464466,15.85,21.304,15,Korea
Arable land and permanent crops,17851.8,17820.0,1495.524284561867,15470.0,20550.0,15,Korea
Forest,64095.666666666664,64137.0,809.7611346799077,62770.0,65285.0,15,Korea
Forest % land area,66.0836,66.175,1.1302967878267298,64.314,67.681,15,Korea
Land area,96998.73333333334,96920.0,439.3320362723857,96460.0,97600.0,15,Korea
Meadows and pastures % land area,0.5952,0.589,0.02625207474793998,0.57,0.653,15,Korea
Other % land area,14.910466666666666,14.84,2.7605949893524926,10.362,19.262,15,Korea
Other areas,14474.066666666668,14383.0,2742.3198330367427,9995.0,18800.0,15,Korea
Permanent meadows and pastures,577.2,570.0,24.042224760378815,550.0,630.0,15,Korea
Total area,99815.4,99720.0,454.73097227136344,99260.0,100430.0,15,Korea
Arable and cropland % land area,16.98786666666667,16.047,3.4397619698932402,13.227,25.407,15,Estonia
Arable land and permanent crops,7234.733333333334,6860.0,1444.386447431507,5607.0,10770.0,15,Estonia
Forest,23210.862,23068.81,856.4202974024241,22157.97,24384.0,15,Estonia
Forest % land area,54.47093333333333,54.42,1.7221931809123439,52.272,57.039,15,Estonia
Land area,42606.0,42390.0,380.01503729645833,42390.0,43470.0,15,Estonia
Meadows and pastures % land area,5.926933333333333,6.596,1.7859973790840902,2.477,7.721,15,Estonia
Other % land area,22.614466666666665,23.14,2.7136726264989153,16.589,26.947,15,Estonia
Other areas,9632.471599999999,9870.07,1132.648083744827,7032.029,11422.71,15,Estonia
Permanent meadows and pastures,2527.9333333333334,2820.0,769.1359221013323,1050.0,3273.0,15,Estonia
Total area,45266.666666666664,45230.0,53.67450401216886,45230.0,45340.0,15,Estonia
Arable and cropland % land area,41.374,40.613,4.421882533814882,36.589,47.889,15,Poland
Arable land and permanent crops,126707.17333333334,124390.0,13561.057327902814,112040.0,146680.0,15,Poland
Forest,92324.4,92480.0,1935.5863932447667,89351.0,94950.0,15,Poland
Forest % land area,30.147466666666666,30.191,0.6373714847118666,29.172,31.019,15,Poland
Land area,306243.3333333333,306280.0,71.18052168020466,306100.0,306330.0,15,Poland
Meadows and pastures % land area,11.355533333333334,10.678,1.34691153949994,9.934,13.504,15,Poland
Other % land area,17.123,18.633,5.103493131459779,9.726,22.3,15,Poland
Other areas,52435.96,57070.0,15621.952338972962,29789.0,68280.0,15,Poland
Permanent meadows and pastures,34775.8,32710.0,4129.86305895417,30407.0,41360.0,15,Poland
Total area,312687.3333333333,312690.0,7.988086367172418,312680.0,312710.0,15,Poland
Arable and cropland % land area,10.8762,10.766,0.6048251459247177,10.233,11.648,15,South Africa
Arable land and permanent crops,131936.0,130600.0,7339.1618828621795,124130.0,141300.0,15,South Africa
Forest,175232.9,175232.9,3255.714975239694,170136.9,180328.9,15,South Africa
Forest % land area,14.445,14.445,0.2683281572999766,14.025,14.865,15,South Africa
Land area,1213090.0,1213090.0,0.0,1213090.0,1213090.0,15,South Africa
Meadows and pastures % land area,69.13093333333333,69.185,0.15857060917849986,68.585,69.185,15,South Africa
Other % land area,5.547666666666667,5.664,0.8087240096655501,4.482,6.557,15,South Africa
Other areas,67297.10066666667,68705.09,9812.158965870187,54365.1,79543.11,15,South Africa
Permanent meadows and pastures,838624.0,839280.0,1923.91267993119,832000.0,839280.0,15,South Africa
Total area,1219090.0,1219090.0,0.0,1219090.0,1219090.0,15,South Africa
Arable and cropland % land area,6.683666666666666,6.706,0.5166701996807006,5.801,7.74,15,Ireland
Arable land and permanent crops,4604.426666666666,4620.0,356.00834152881197,3996.0,5332.3,15,Ireland
Forest,6790.173333333334,6933.74,863.4544004393607,5122.56,7860.2,15,Ireland
Forest % land area,9.856733333333333,10.065,1.253436559832132,7.436,11.41,15,Ireland
Land area,68890.0,68890.0,0.0,68890.0,68890.0,15,Ireland
Meadows and pastures % land area,57.476400000000005,57.715,1.4576818582941904,55.27,59.926,15,Ireland
Other % land area,25.98326666666667,26.704,2.1271368236826382,22.989,28.588,15,Ireland
Other areas,17899.906666666666,18396.38,1465.4938455525426,15837.02,19694.44,15,Ireland
Permanent meadows and pastures,39595.49333333333,39760.0,1004.1956023651595,38075.5,41283.3,15,Ireland
Total area,70280.0,70280.0,0.0,70280.0,70280.0,15,Ireland
Arable and cropland % land area,59.53793333333333,59.472,1.9118427709810177,56.85,63.55,15,Denmark
Arable land and permanent crops,23815.184666666668,23788.99,764.7359365434269,22740.0,25420.0,15,Denmark
Forest,5885.374,5820.23,287.2398660104732,5434.88,6293.8,15,Denmark
Forest % land area,14.713533333333334,14.551,0.7181729662997691,13.587,15.735,15,Denmark
Land area,40000.0,40000.0,0.0,40000.0,40000.0,15,Denmark
Meadows and pastures % land area,7.066133333333334,6.375,2.019523630769914,4.675,9.95,15,Denmark
Other % land area,18.682466666666667,18.773,0.5665237186645622,17.849,19.71,15,Denmark
Other areas,7472.983266666666,7509.11,226.65971300969665,7139.55,7884.16,15,Denmark
Permanent meadows and pastures,2826.458,2550.0,807.8047505625531,1870.0,3980.0,15,Denmark
Total area,42920.0,42920.0,0.0,42920.0,42920.0,15,Denmark
Arable and cropland % land area,23.650266666666667,20.865,4.538450513850147,18.979,32.754,15,Portugal
Arable land and permanent crops,21648.58466666667,19109.8,4145.220450964954,17386.15,29970.0,15,Portugal
Forest,32963.53333333333,32928.0,313.1628664966221,32549.0,33636.0,15,Portugal
Forest % land area,36.0088,35.987,0.3420311598169308,35.538,36.761,15,Portugal
Land area,91543.17066666667,91500.0,57.139200637772,91470.0,91605.59,15,Portugal
Meadows and pastures % land area,17.6794,19.478,4.152216994742517,10.514,23.257,15,Portugal
Other % land area,22.661866666666665,22.558,1.6294071168314415,19.972,24.608,15,Portugal
Other areas,20745.413333333334,20640.2,1493.869743746406,18274.0,22516.0,15,Portugal
Permanent meadows and pastures,16185.641333333333,17816.7,3807.4299603760965,9620.0,21304.84,15,Portugal
Total area,92163.75866666666,92120.0,57.84413945702359,92090.0,92230.0,15,Portugal
Arable and cropland % land area,12.846733333333333,12.757,0.6416362417029348,11.931,14.054,15,Japan
Arable land and permanent crops,46828.0,46500.0,2341.6361801099665,43490.0,51240.0,15,Japan
Forest,249260.53333333333,249350.0,248.96065858647327,248834.0,249616.0,15,Japan
Forest % land area,68.38180000000001,68.409,0.06922551139985424,68.267,68.482,15,Japan
Land area,364513.3333333333,364500.0,35.18657752745457,364500.0,364600.0,15,Japan
Meadows and pastures % land area,1.0984666666666667,1.034,0.20760087622532758,0.85,1.541,15,Japan
Other % land area,17.673000000000002,17.789,0.8054301423995229,16.035,18.809,15,Japan
Other areas,64419.866,64842.0,2931.875859910469,58461.99,68560.0,15,Japan
Permanent meadows and pastures,4004.9333333333334,3768.0,757.0004214630518,3100.0,5620.0,15,Japan
Total area,377904.86666666664,377930.0,71.22185325411122,377800.0,377974.0,15,Japan
Arable and cropland % land area,14.0046,13.952,0.23783511695530368,13.651,14.452,15,China (People's Republic of)
Arable land and permanent crops,1319886.1333333333,1314889.0,22422.10998057388,1286520.0,1362046.0,15,China (People's Republic of)
Forest,1929207.8666666667,1935274.0,192192.6095036905,1630986.0,2218578.0,15,China (People's Republic of)
Forest % land area,20.4696,20.534,2.039233917781031,17.305,23.54,15,China (People's Republic of)
Land area,9424701.4,9424701.0,10.328877687614828,9424670.0,9424720.0,15,China (People's Republic of)
Meadows and pastures % land area,41.6484,41.681,0.12625925708636143,41.192,41.681,15,China (People's Republic of)
Other % land area,23.877200000000002,23.458,2.088544920683844,21.128,27.615,15,China (People's Republic of)
Other areas,2250341.066666667,2210807.0,196849.9837212763,1991266.0,2602624.0,15,China (People's Republic of)
Permanent meadows and pastures,3925266.6666666665,3928340.0,11902.96881734414,3882240.0,3928340.0,15,China (People's Republic of)
Total area,9600003.2,9600000.0,5.157518782506613,9600000.0,9600013.0,15,China (People's Republic of)
Arable and cropland % land area,28.443090909090913,28.398,0.47462563237681493,27.685,29.372,11,Belgium
Arable land and permanent crops,8612.589727272727,8599.0,143.7022640768685,8383.0,8893.9,11,Belgium
Forest,6844.917272727273,6893.0,72.37151733809532,6695.57,6897.56,11,Belgium
Forest % land area,22.605181818181816,22.764,0.23904468962175965,22.112,22.779,11,Belgium
Land area,30280.0,30280.0,0.0,30280.0,30280.0,11,Belgium
Meadows and pastures % land area,16.416272727272727,16.453,0.7344448367180599,15.456,17.701,11,Belgium
Other % land area,32.535,32.299,0.5999108267067698,31.761,33.411,11,Belgium
Other areas,9851.63481818182,9780.01,181.69789580389576,9617.29,10117.0,11,Belgium
Permanent meadows and pastures,4970.858181818182,4982.0,222.40675987110546,4680.0,5360.0,11,Belgium
Total area,30530.0,30530.0,0.0,30530.0,30530.0,11,Belgium
Arable and cropland % land area,30.78307142857143,31.5215,2.262902950578365,27.133,33.851,14,Netherlands
Arable land and permanent crops,10383.07142857143,10616.5,759.9430610538893,9160.0,11428.0,14,Netherlands
Forest,3634.227142857143,3656.6000000000004,71.55160122151428,3495.81,3720.82,14,Netherlands
Forest % land area,10.7745,10.845500000000001,0.21856727533222722,10.355,11.031,14,Netherlands
Land area,33730.71428571428,33760.0,38.92088340255427,33670.0,33760.0,14,Netherlands
Meadows and pastures % land area,25.7105,24.2545,3.495300311737286,22.097,31.517,14,Netherlands
Other % land area,32.732142857142854,32.3565,1.5027536702356077,30.759,35.094,14,Netherlands
Other areas,11040.272857142858,10923.58,494.9011440748474,10384.19,11816.3,14,Netherlands
Permanent meadows and pastures,8673.142857142857,8183.5,1185.7199602671037,7440.0,10640.0,14,Netherlands
Total area,41535.71428571428,41540.0,5.135525910130204,41530.0,41540.0,14,Netherlands
Arable and cropland % land area,35.5026,34.854,1.8126278398265572,33.237,39.358,15,Spain
Arable land and permanent crops,177297.12666666665,173960.0,9015.790358782966,166098.2,196570.0,15,Spain
Forest,175814.15333333332,181099.2,12341.367006759161,148614.4,185764.6,15,Spain
Forest % land area,35.20493333333333,36.284,2.4656251443358035,29.756,37.173,15,Spain
Land area,499396.7733333333,499440.0,435.9596155390429,498520.0,500210.0,15,Spain
Meadows and pastures % land area,20.894000000000002,21.254,1.6218314603294282,18.638,23.02,15,Spain
Other % land area,8.3984,8.857,1.6664719276706361,5.861,10.374,15,Spain
Other areas,41946.37066666666,44274.92,8346.080043051405,29253.65,51824.33,15,Spain
Permanent meadows and pastures,104339.12466666667,106080.0,8038.600144345372,93103.63,114760.0,15,Spain
Total area,505718.44666666666,505935.3,331.2701635192769,505020.0,505990.0,15,Spain
Arable and cropland % land area,1.2596666666666667,1.247,0.053678496182185974,1.2,1.347,15,Iceland
Arable land and permanent crops,1263.6,1250.0,52.61287186339759,1210.0,1350.0,15,Iceland
Forest,385.0128666666667,402.18,105.0661992017187,208.98,520.033,15,Iceland
Forest % land area,0.38366666666666666,0.401,0.10442267588074555,0.208,0.516,15,Iceland
Land area,100327.33333333333,100250.0,204.0821496592107,100250.0,100830.0,15,Iceland
Meadows and pastures % land area,17.494666666666667,17.466,0.07337444734926127,17.366,17.606,15,Iceland
Other % land area,80.86186666666666,80.855,0.030068651608013575,80.823,80.931,15,Iceland
