"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EST","Estonia","SELF_TEX","Self- and other supply for textiles","2019","2019","M3","Cubic metres","6","Millions",,,0.035,,
"EST","Estonia","SELF_TEX","Self- and other supply for textiles","2020","2020","M3","Cubic metres","6","Millions",,,0.037,,
"EST","Estonia","SELF_TEX","Self- and other supply for textiles","2021","2021","M3","Cubic metres","6","Millions",,,0.042,,
"EST","Estonia","SELF_CHEM","Self- and other supply for chemicals, refined petroleum etc","2019","2019","M3","Cubic metres","6","Millions",,,42.164,,
"EST","Estonia","SELF_CHEM","Self- and other supply for chemicals, refined petroleum etc","2020","2020","M3","Cubic metres","6","Millions",,,44.31,,
"EST","Estonia","SELF_CHEM","Self- and other supply for chemicals, refined petroleum etc","2021","2021","M3","Cubic metres","6","Millions",,,42.605,,
"EST","Estonia","SELF_PAPER","Self- and other supply for paper products","2019","2019","M3","Cubic metres","6","Millions",,,8.08,,
"EST","Estonia","SELF_PAPER","Self- and other supply for paper products","2020","2020","M3","Cubic metres","6","Millions",,,8.338,,
"EST","Estonia","SELF_PAPER","Self- and other supply for paper products","2021","2021","M3","Cubic metres","6","Millions",,,9.305,,
"EST","Estonia","SELF_FOOD","Self- and other supply for food processing industry","2019","2019","M3","Cubic metres","6","Millions",,,4.541,,
"EST","Estonia","SELF_FOOD","Self- and other supply for food processing industry","2020","2020","M3","Cubic metres","6","Millions",,,4.84,,
"EST","Estonia","SELF_FOOD","Self- and other supply for food processing industry","2021","2021","M3","Cubic metres","6","Millions",,,4.893,,
"LUX","Luxembourg","SELF_MET","Self- and other supply for basic metals","2015","2015","M3","Cubic metres","6","Millions",,,0.05,,
"LUX","Luxembourg","SELF_MET","Self- and other supply for basic metals","2016","2016","M3","Cubic metres","6","Millions",,,0.12,,
"LUX","Luxembourg","SELF_MET","Self- and other supply for basic metals","2017","2017","M3","Cubic metres","6","Millions",,,0,,
"LUX","Luxembourg","SELF_MET","Self- and other supply for basic metals","2018","2018","M3","Cubic metres","6","Millions",,,0.141,,
"LUX","Luxembourg","SELF_MET","Self- and other supply for basic metals","2019","2019","M3","Cubic metres","6","Millions",,,0.665,,
"LUX","Luxembourg","SELF_MET","Self- and other supply for basic metals","2020","2020","M3","Cubic metres","6","Millions",,,0.025,,
"EST","Estonia","SELF_TR","Self- and other supply - transport vehicles and equipment","2019","2019","M3","Cubic metres","6","Millions",,,0.002,,
"EST","Estonia","SELF_TR","Self- and other supply - transport vehicles and equipment","2020","2020","M3","Cubic metres","6","Millions",,,0.001,,
"EST","Estonia","SELF_TR","Self- and other supply - transport vehicles and equipment","2021","2021","M3","Cubic metres","6","Millions",,,0.001,,
"LUX","Luxembourg","SELF_FOOD","Self- and other supply for food processing industry","2015","2015","M3","Cubic metres","6","Millions",,,0.418,,
"LUX","Luxembourg","SELF_FOOD","Self- and other supply for food processing industry","2016","2016","M3","Cubic metres","6","Millions",,,0.465,,
"LUX","Luxembourg","SELF_FOOD","Self- and other supply for food processing industry","2017","2017","M3","Cubic metres","6","Millions",,,0.478,,
"LUX","Luxembourg","SELF_FOOD","Self- and other supply for food processing industry","2018","2018","M3","Cubic metres","6","Millions",,,0.476,,
"LUX","Luxembourg","SELF_FOOD","Self- and other supply for food processing industry","2019","2019","M3","Cubic metres","6","Millions",,,0.739,,
"LUX","Luxembourg","SELF_FOOD","Self- and other supply for food processing industry","2020","2020","M3","Cubic metres","6","Millions",,,0.792,,
"EST","Estonia","SELF_OTHER","Self- and other supply - Other manufacturing","2019","2019","M3","Cubic metres","6","Millions",,,1.705,,
