country,land_variable,mean,median,std,min,max,count
Rwanda,Other areas,7577.999996666666,2815.0,9854.729831403762,7.521,26340.0,300
Saint Helena,Forest,127.0,52.0515,148.32896146242555,5.128,390.0,300
Saint Kitts and Nevis,Other areas,88.00000333333334,42.308,91.57823525009492,3.462,260.0,300
Saint Lucia,Permanent meadows and pastures,194.0000533333333,71.328,228.2098761676014,0.607,620.0,300
Saint Pierre and Miquelon,Other % land area,100.00001666666667,54.448,96.31611213483232,5.217,240.0,240
Saint Vincent and the Grenadines,Permanent meadows and pastures,127.00006666666665,42.3,153.13787974156278,3.59,390.0,300
Samoa,Land area,858.3333333333334,209.9,1102.7894535330006,0.707,2840.0,300
San Marino,Arable land and permanent crops,35.00009583333333,32.6665,21.869848733322144,10.0,66.667,240
Sao Tome and Principe,Forest % land area,298.00002666666666,57.615,375.31753718419026,0.896,960.0,300
Saudi Arabia,Arable land and permanent crops,644917.0001166667,21360.0,896528.5189012092,0.454,2149690.0,300
Senegal,Total area,58186.99999333333,24531.7,73547.44969113257,6.31,196710.0,300
Seychelles,Total area,185.0000375,78.1305,187.03362557020557,3.18,460.0,240
Sierra Leone,Forest,21675.99996,10640.119999999999,27067.49118670821,5.224,72300.0,300
Singapore,Other areas,273.1624958333333,115.144,291.2706710882091,0.919,728.0,240
Slovak Republic,Forest,14531.73788275862,7263.2,18187.32558601657,9.602,49040.0,290
Slovenia,Permanent meadows and pastures,6074.021303333334,2337.15,7920.958174856226,7.136,20675.0,300
Solomon Islands,Other % land area,8497.999996666666,375.435,12437.589556059778,0.179,28900.0,300
Somalia,Total area,189243.99995666667,35301.25,254506.64102921635,1.635,637660.0,300
South Africa,Other % land area,364537.00007,101836.555,489163.69823778886,4.456,1219090.0,300
Spain,Other areas,150467.4675333333,72367.735,188516.88840596002,5.861,505990.0,300
Sri Lanka,Meadows and pastures % land area,19074.04978,8477.3,24017.94452008828,7.0,65610.0,300
Sudan,Land area,539818.272076923,194713.05,711301.7598313905,9.736,1878000.0,104
Suriname,Meadows and pastures % land area,47592.000556666666,370.0,72189.76050022426,0.103,163820.0,300
Sweden,Forest % land area,128653.03072666668,15573.25,177211.20038311856,0.913,528861.1,300
Switzerland,Other % land area,12042.640186666666,7615.434,15021.698108336517,10.648,41290.7,300
Syrian Arab Republic,Total area,55264.133316666666,22214.845,70180.52661364156,2.09,185180.0,300
Tajikistan,Other areas,42163.35666,6479.0,56055.787117488086,2.918,142550.0,300
Tanzania,Forest % land area,271899.99884333333,67914.0,358093.94864790695,0.0,947300.0,300
Thailand,Other areas,153500.00028,42760.0,195801.5025952858,1.566,513120.0,300
Timor-Leste,Total area,4470.99997,1650.0,5848.262512718195,10.087,14870.0,300
Togo,Forest,16567.000056666668,9454.896499999999,21015.95276558451,6.546,56790.0,300
Tokelau,Total area,16.25,8.0,20.47398594359218,0.0,60.0,240
Tonga,Forest,229.0001,67.7015,273.3969429729354,5.556,750.0,300
Trinidad and Tobago,Arable land and permanent crops,1549.0000533333334,270.0,1983.483687399183,1.17,5130.0,300
Tunisia,Permanent meadows and pastures,47442.99994666666,25501.3,59949.91240579702,4.176,163610.0,300
Turkmenistan,Other % land area,142805.99999666665,31135.0,192913.7586526188,3.298,488100.0,300
Turks and Caicos Islands,Total area,368.75012499999997,96.537,424.1294936258144,1.053,950.0,240
Tuvalu,Land area,23.75,25.0,18.272655261151485,0.0,66.667,240
Türkiye,Permanent meadows and pastures,232471.00000333335,148706.4,287611.1234753324,16.083,785350.0,300
Uganda,Meadows and pastures % land area,64183.79998333334,31691.45,83188.49405233278,11.453,241550.0,300
Ukraine,Land area,176233.56666333333,73017.0,229035.88657636815,11.464,603560.0,300
United Arab Emirates,Arable land and permanent crops,24078.79001333333,2631.645,36175.01204732307,0.972,98647.9,300
United Kingdom,Forest,72756.99997,32542.335,91640.13343467438,11.628,243610.0,300
United States,Meadows and pastures % land area,2803316.486663333,1869899.0,3496245.0411043386,17.241,9831510.0,300
United States Virgin Islands,Forest % land area,114.99999333333334,49.510000000000005,130.3971624186767,3.143,350.0,300
Uruguay,Total area,52636.000023333334,13378.5,71764.14849593773,5.212,176220.0,300
Uzbekistan,Arable and cropland % land area,131458.14346000002,40657.5,168972.74448686,6.187,448924.0,300
Vanuatu,Permanent meadows and pastures,3666.9999866666667,810.0,4698.808680921386,3.035,12190.0,300
Venezuela,Land area,267625.0,92735.0,346298.054632103,3.741,912050.0,300
Viet Nam,Other areas,96298.65554666668,24709.55,123228.67997428107,1.008,331340.0,300
Wallis and Futuna,Arable land and permanent crops,64.9999875,50.438500000000005,45.73929962576028,15.5,140.0,240
World,Other areas,39647370.70764765,23776875.0,49366300.87484348,11.417,140856300.0,298
Yemen,Permanent meadows and pastures,158401.0000166667,9674.0,209532.848119444,1.04,527970.0,300
Zambia,Forest,223948.99964666663,39300.994999999995,296461.55808588595,3.519,752610.0,300
Zimbabwe,Meadows and pastures % land area,116455.99995999999,42977.195,147611.71280938812,7.988,390760.0,300
