country,continent,h20_variable,year,h20_unit,h20_powercode_code,h20_powercode,h20_value,h20_flags
Australia,Oceania,Self- and other supply for electricity production and distribution,2011,Cubic metres,6,Millions,293.0,
Australia,Oceania,Self- and other supply for electricity production and distribution,2012,Cubic metres,6,Millions,379.0,
Australia,Oceania,Self- and other supply for electricity production and distribution,2013,Cubic metres,6,Millions,334.0,
Australia,Oceania,Self- and other supply for electricity production and distribution,2014,Cubic metres,6,Millions,348.0,
Australia,Oceania,Self- and other supply for electricity production and distribution,2015,Cubic metres,6,Millions,162.819,Break
Australia,Oceania,Self- and other supply for electricity production and distribution,2016,Cubic metres,6,Millions,143.201,
Australia,Oceania,Self- and other supply for electricity production and distribution,2017,Cubic metres,6,Millions,197.615,
Australia,Oceania,Self- and other supply for electricity production and distribution,2018,Cubic metres,6,Millions,188.78,
Australia,Oceania,Self- and other supply for electricity production and distribution,2019,Cubic metres,6,Millions,172.767,
Australia,Oceania,Self- and other supply for electricity production and distribution,2020,Cubic metres,6,Millions,236.101,
Australia,Oceania,Self- and other supply for electricity production and distribution,2021,Cubic metres,6,Millions,304.743,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2009,Cubic metres,6,Millions,7406.0,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2010,Cubic metres,6,Millions,7195.0,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2011,Cubic metres,6,Millions,7415.0,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2012,Cubic metres,6,Millions,9371.0,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2013,Cubic metres,6,Millions,12450.0,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2014,Cubic metres,6,Millions,11728.0,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2015,Cubic metres,6,Millions,10076.105,Break
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2016,Cubic metres,6,Millions,9067.544,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2017,Cubic metres,6,Millions,10178.353,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2018,Cubic metres,6,Millions,10848.286,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2019,Cubic metres,6,Millions,8516.835,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2020,Cubic metres,6,Millions,6656.389,
Australia,Oceania,"Self- and other supply for agriculture, fishing and forestry",2021,Cubic metres,6,Millions,9319.28,
Australia,Oceania,Self- and other supply for total manufacturing,2009,Cubic metres,6,Millions,343.0,
Australia,Oceania,Self- and other supply for total manufacturing,2010,Cubic metres,6,Millions,328.0,
Australia,Oceania,Self- and other supply for total manufacturing,2011,Cubic metres,6,Millions,351.0,
Australia,Oceania,Self- and other supply for total manufacturing,2012,Cubic metres,6,Millions,271.0,
Australia,Oceania,Self- and other supply for total manufacturing,2013,Cubic metres,6,Millions,280.0,
Australia,Oceania,Self- and other supply for total manufacturing,2014,Cubic metres,6,Millions,285.0,
Australia,Oceania,Self- and other supply for total manufacturing,2015,Cubic metres,6,Millions,300.289,Break
Australia,Oceania,Self- and other supply for total manufacturing,2016,Cubic metres,6,Millions,293.4,
Australia,Oceania,Self- and other supply for total manufacturing,2017,Cubic metres,6,Millions,298.032,
Australia,Oceania,Self- and other supply for total manufacturing,2018,Cubic metres,6,Millions,322.003,
Australia,Oceania,Self- and other supply for total manufacturing,2019,Cubic metres,6,Millions,312.089,
Australia,Oceania,Self- and other supply for total manufacturing,2020,Cubic metres,6,Millions,299.409,
Australia,Oceania,Self- and other supply for total manufacturing,2021,Cubic metres,6,Millions,296.824,
Austria,Europe,Public water supply,1992,Cubic metres,6,Millions,632.8,
Austria,Europe,Public water supply,1993,Cubic metres,6,Millions,625.8,
Austria,Europe,Public water supply,1994,Cubic metres,6,Millions,618.8,
Austria,Europe,Public water supply,1995,Cubic metres,6,Millions,611.1,
Austria,Europe,Public water supply,1996,Cubic metres,6,Millions,609.5,
Austria,Europe,Public water supply,1997,Cubic metres,6,Millions,604.3,
Austria,Europe,Public water supply,1998,Cubic metres,6,Millions,581.4,
Austria,Europe,Public water supply,1999,Cubic metres,6,Millions,549.3,
Austria,Europe,Public water supply,2010,Cubic metres,6,Millions,587.0,
Austria,Europe,Public water supply for households,1992,Cubic metres,6,Millions,477.7,
Austria,Europe,Public water supply for households,1993,Cubic metres,6,Millions,469.0,
Austria,Europe,Public water supply for households,1994,Cubic metres,6,Millions,465.6,
Austria,Europe,Public water supply for households,1995,Cubic metres,6,Millions,337.4,
Austria,Europe,Public water supply for households,1996,Cubic metres,6,Millions,340.7,
Austria,Europe,Public water supply for households,1997,Cubic metres,6,Millions,343.3,
Austria,Europe,Public water supply for households,1998,Cubic metres,6,Millions,346.5,
Austria,Europe,Public water supply for households,1999,Cubic metres,6,Millions,348.9,
Austria,Europe,Public water supply for households,2000,Cubic metres,6,Millions,351.2,
Austria,Europe,Public water supply for households,2001,Cubic metres,6,Millions,353.5,
Austria,Europe,Public water supply for households,2002,Cubic metres,6,Millions,356.3,
Austria,Europe,Public water supply for households,2008,Cubic metres,6,Millions,380.0,Estimated value
Austria,Europe,Public water supply for households,2010,Cubic metres,6,Millions,381.0,
Austria,Europe,Public water supply for households,2016,Cubic metres,6,Millions,379.0,Estimated value
Austria,Europe,Public water supply for households,2017,Cubic metres,6,Millions,375.77,Estimated value
Austria,Europe,Public water supply for households,2018,Cubic metres,6,Millions,378.14,Estimated value
Belgium,Europe,Total gross abstraction non-freshwater,1992,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,1993,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,1994,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,1995,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,1996,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,1997,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,1998,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,1999,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2000,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2001,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2002,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2003,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2004,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2005,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2006,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2007,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2008,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2009,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2010,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2011,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2012,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2013,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2014,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2015,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2016,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2017,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2018,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2019,Cubic metres,6,Millions,0.0,
Belgium,Europe,Total gross abstraction non-freshwater,2020,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,1992,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,1993,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,1994,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,1995,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,1996,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,1997,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,1998,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,1999,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2000,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2001,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2002,Cubic metres,6,Millions,0.0,
